res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
23,Hawai'i,Western Athletic,5.16,10-3,10,3,11.5,22,9.2,24,-4.1,,
24,USC,Pac-10,4.76,8-5,8,5,7.9,32,12.9,23,6.5,,
25,West Virginia,Big East,4.2,9-3,9,3,13.6,17,7.5,26,-2.6,,
26,NC State,ACC,2.9,8-4,8,4,8.5,28,8.5,25,1.9,,
27,Arizona,Pac-10,2.68,7-5,7,5,15.1,15,3.2,34,3.6,,
28,UCF,Conference USA,2.16,10-3,10,3,5.9,40,1.4,43,-7.1,,
29,Miami,ACC,2.16,7-5,7,5,12.3,21,4.0,31,3.7,,
30,Florida,SEC,1.25,7-5,7,5,8.0,31,4.5,30,3.7,,
31,Maryland,ACC,1.14,8-4,8,4,2.7,48,6.8,27,1.0,,
32,North Carolina,ACC,0.92,7-5,7,5,9.8,26,2.2,40,2.2,,
33,Navy,FBS Independents,0.65,9-3,9,3,1.8,53,2.9,35,-4.0,,
34,Notre Dame,FBS Independents,0.58,7-5,7,5,7.1,35,1.4,42,3.2,,
35,Arizona State,Pac-10,0.4,6-6,6,6,13.2,20,2.2,38,3.7,,
36,Pittsburgh,Big East,0.17,7-5,7,5,8.1,29,1.2,45,1.4,,
37,Air Force,Mountain West,0.11,8-4,8,4,6.4,39,2.7,37,-3.3,,
38,Tulsa,Conference USA,0.11,9-3,9,3,1.6,55,5.7,28,-6.2,,
39,Washington,Pac-10,-0.43,6-6,6,6,0.7,61,4.8,29,8.7,,
40,Fresno State,Western Athletic,-0.46,8-4,8,4,1.0,59,2.9,36,-1.5,,
41,Oregon State,Pac-10,-0.57,5-7,5,7,4.8,43,3.5,32,11.2,,
42,Iowa,Big Ten,-0.65,7-5,7,5,7.8,33,0.9,49,-0.7,,
43,Baylor,Big 12,-0.68,7-5,7,5,4.4,44,3.5,33,0.7,,
44,Georgia,SEC,-0.94,6-6,6,6,10.7,24,0.5,54,1.9,,
45,Michigan,Big Ten,-0.99,7-5,7,5,5.7,41,1.1,47,-0.4,,
46,Texas Tech,Big 12,-1.04,7-5,7,5,2.1,52,2.2,39,1.5,,
47,Northern Illinois,Mid-American,-1.07,10-3,10,3,1.2,58,0.2,57,-13.1,,
48,Clemson,ACC,-1.41,6-6,6,6,6.5,38,0.7,52,3.2,,
49,Southern Miss,Conference USA,-1.49,8-4,8,4,4.9,42,0.2,59,-6.3,,
50,Penn State,Big Ten,-1.77,7-5,7,5,0.2,64,1.2,46,0.9,,
51,San Diego State,Mountain West,-1.79,8-4,8,4,2.7,47,1.2,44,-6.0,,
52,UConn,Big East,-1.81,8-4,8,4,-1.7,70,1.5,41,-3.3,,
53,Kansas State,Big 12,-1.88,7-5,7,5,0.9,60,0.9,50,0.2,,
54,Boston College,ACC,-2.29,7-5,7,5,-0.4,67,0.7,53,-0.1,,
55,Illinois,Big Ten,-2.48,6-6,6,6,8.1,30,0.1,67,-0.8,,
56,South Florida,Big East,-2.51,7-5,7,5,0.6,62,0.7,51,-1.4,,
57,SMU,Conference USA,-2.58,7-6,7,6,2.3,50,0.0,118,-2.5,,
58,Tennessee,SEC,-2.88,6-6,6,6,0.1,65,1.0,48,3.0,,
59,California,Pac-10,-2.88,5-7,5,7,4.2,45,0.4,55,5.7,,
60,Syracuse,Big East,-3.39,7-5,7,5,1.7,54,0.1,66,-4.5,,
61,Miami (OH),Mid-American,-3.63,9-4,9,4,-7.0,83,0.2,58,-10.0,,
62,Texas,Big 12,-3.64,5-7,5,7,7.3,34,0.0,75,1.6,,
63,Louisville,Big East,-3.86,6-6,6,6,3.5,46,0.0,97,-1.8,,
64,Kentucky,SEC,-3.88,6-6,6,6,1.6,56,0.3,56,-0.7,,
65,BYU,Mountain West,-4.02,6-6,6,6,1.5,57,0.1,64,-1.0,,
66,Georgia Tech,ACC,-4.1,6-6,6,6,0.4,63,0.1,68,-0.5,,
67,East Carolina,Conference USA,-4.17,6-6,6,6,-1.0,68,0.1,62,0.2,,
68,Northwestern,Big Ten,-4.37,7-5,7,5,-3.3,74,0.1,63,-4.1,,
69,UCLA,Pac-10,-5.27,4-8,4,8,-1.4,69,0.1,65,7.7,,
70,Colorado,Big 12,-5.29,5-7,5,7,-2.6,72,0.1,61,3.2,,
71,Florida International,Sun Belt,-5.36,6-6,6,6,2.5,49,0.0,104,-5.5,,
72,Troy,Sun Belt,-5.82,7-5,7,5,-6.2,81,0.0,82,-6.4,,
73,Temple,Mid-American,-6.02,8-4,8,4,-7.6,86,0.0,72,-11.3,,
74,Toledo,Mid-American,-6.03,8-4,8,4,-12.5,100,0.2,60,-8.2,,
75,Iowa State,Big 12,-6.28,5-7,5,7,-5.6,79,0.0,115,2.3,,
76,Idaho,Western Athletic,-6.39,6-7,6,7,-4.9,78,0.0,100,-3.7,,
77,Cincinnati,Big East,-6.75,4-8,4,8,2.3,51,0.0,106,1.0,,
78,Ole Miss,SEC,-6.79,4-8,4,8,-0.0,66,0.0,114,2.4,,
79,Army,FBS Independents,-6.82,6-6,6,6,-2.2,71,0.0,79,-6.7,,
80,Ohio,Mid-American,-6.96,8-4,8,4,-7.8,88,0.0,111,-13.9,,
81,Louisiana Tech,Western Athletic,-7.31,5-7,5,7,-7.0,82,0.0,96,0.2,,
82,Houston,Conference USA,-7.98,5-7,5,7,-2.9,73,0.0,101,-4.4,,
83,UL Monroe,Sun Belt,-8.07,5-7,5,7,-4.4,76,0.0,85,-3.7,,
84,Indiana,Big Ten,-8.36,5-7,5,7,-8.0,89,0.0,94,-2.2,,
85,Virginia,ACC,-8.99,4-8,4,8,-4.5,77,0.0,87,-1.1,,
86,Marshall,Conference USA,-9.49,5-7,5,7,-11.5,96,0.0,98,-3.2,,
87,Utah State,Western Athletic,-9.63,4-8,4,8,-9.2,91,0.0,73,0.1,,
88,Middle Tennessee,Sun Belt,-9.68,6-6,6,6,-10.4,93,0.0,102,-9.7,,
89,Rutgers,Big East,-9.73,4-8,4,8,-10.1,92,0.0,117,0.4,,
90,Washington State,Pac-10,-10.0,2-10,2,10,-6.0,80,0.0,88,7.4,,
91,Western Michigan,Mid-American,-10.01,6-6,6,6,-7.7,87,0.0,74,-12.4,,
92,Arkansas State,Sun Belt,-10.04,4-8,4,8,-3.5,75,0.0,78,-4.8,,
93,UTEP,Conference USA,-10.12,6-6,6,6,-13.6,104,0.0,80,-8.9,,
94,Duke,ACC,-10.22,3-9,3,9,-7.2,84,0.0,112,2.3,,
95,Minnesota,Big Ten,-10.52,3-9,3,9,-7.3,85,0.0,103,1.5,,
96,Purdue,Big Ten,-10.94,4-8,4,8,-12.9,102,0.0,89,-1.3,,
97,Wake Forest,ACC,-11.2,3-9,3,9,-11.9,98,0.0,69,2.5,,
98,UAB,Conference USA,-11.25,4-8,4,8,-8.9,90,0.0,86,-4.8,,
99,Rice,Conference USA,-11.48,4-8,4,8,-13.3,103,0.0,116,-2.6,,
100,Tulane,Conference USA,-11.93,4-8,4,8,-11.5,97,0.0,83,-5.1,,
101,Kansas,Big 12,-12.31,3-9,3,9,-15.3,110,0.0,92,1.5,,
102,Kent State,Mid-American,-12.7,5-7,5,7,-12.5,99,0.0,93,-11.9,,
103,Wyoming,Mountain West,-13.01,3-9,3,9,-14.3,106,0.0,120,-1.2,,
104,Florida Atlantic,Sun Belt,-13.19,4-8,4,8,-17.6,112,0.0,91,-4.8,,
105,Colorado State,Mountain West,-13.24,3-9,3,9,-15.3,109,0.0,113,-1.2,,
106,Vanderbilt,SEC,-13.57,2-10,2,10,-13.7,105,0.0,71,2.0,,
107,Louisiana,Sun Belt,-13.98,3-9,3,9,-14.5,107,0.0,95,-3.9,,
108,UNLV,Mountain West,-14.17,2-11,2,11,-17.9,113,0.0,81,3.0,,
109,North Texas,Sun Belt,-14.21,3-9,3,9,-11.5,95,0.0,110,-6.5,,
110,Central Michigan,Mid-American,-15.13,3-9,3,9,-11.0,94,0.0,90,-9.5,,
111,San José State,Western Athletic,-15.53,1-12,1,12,-12.6,101,0.0,119,0.8,,
112,Western Kentucky,Sun Belt,-16.2,2-10,2,10,-15.3,108,0.0,70,-4.6,,
113,New Mexico State,Western Athletic,-16.81,2-10,2,10,-21.1,115,0.0,109,-2.6,,
114,Memphis,Conference USA,-17.35,1-11,1,11,-16.6,111,0.0,99,-1.9,,
115,Ball State,Mid-American,-17.84,4-8,4,8,-24.7,117,0.0,77,-13.7,,
116,New Mexico,Mountain West,-18.08,1-11,1,11,-21.1,114,0.0,108,-1.1,,
117,Eastern Michigan,Mid-American,-19.45,2-10,2,10,-25.1,119,0.0,107,-7.7,,
118,Bowling Green,Mid-American,-19.56,2-10,2,10,-24.8,118,0.0,84,-8.2,,
119,Buffalo,Mid-American,-19.84,2-10,2,10,-21.3,116,0.0,76,-11.3,,
120,Akron,Mid-American,-22.15,1-11,1,11,-26.4,120,0.0,105,-9.5,,
