rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
49,Syracuse,4.3,27.7,23.4,-0.001,-0.067,0.442,0.443,4.3,4.3,12
50,Air Force,4.1,31.3,27.3,0.046,0.0,0.462,0.426,4.2,4.0,12
51,NC State,3.8,23.5,20.1,-0.04,-0.081,0.382,0.354,4.5,3.4,12
52,West Virginia,3.7,32.3,26.9,0.068,-0.013,0.448,0.444,1.2,5.4,11
53,North Carolina,3.7,37.8,34.1,0.143,0.089,0.471,0.466,3.7,3.7,13
54,Fresno State,3.2,29.2,27.2,0.018,0.007,0.451,0.407,4.9,2.0,13
55,Memphis,3.0,27.1,25.2,-0.008,-0.037,0.435,0.436,4.6,1.9,12
56,Washington State,2.8,24.6,23.2,-0.035,-0.054,0.407,0.405,5.0,1.4,12
57,Purdue,2.8,30.1,27.1,0.03,0.008,0.457,0.401,2.5,3.0,13
58,Oklahoma State,2.3,23.7,23.0,-0.04,-0.049,0.387,0.384,4.5,0.7,12
59,SMU,2.2,33.8,32.6,0.093,0.071,0.445,0.454,3.6,1.2,12
60,Marshall,2.1,18.4,15.6,-0.128,-0.144,0.398,0.338,1.2,2.8,11
61,UTSA,2.0,29.2,28.1,0.022,0.028,0.439,0.392,3.5,1.0,13
62,Troy,1.5,21.1,21.6,-0.074,-0.088,0.372,0.424,4.5,-0.4,13
63,East Carolina,1.0,30.5,30.7,0.052,0.04,0.418,0.457,2.9,-0.2,12
64,Western Kentucky,0.6,29.9,29.5,0.036,0.019,0.433,0.465,1.1,0.3,13
65,South Alabama,0.3,25.9,26.3,-0.009,-0.008,0.393,0.411,1.4,-0.5,12
66,Michigan State,0.0,29.4,28.9,0.027,0.024,0.437,0.428,-0.7,0.5,12
67,Nebraska,-1.1,29.3,28.7,0.038,0.01,0.409,0.455,-3.7,0.6,11
68,Arizona,-1.1,34.3,34.5,0.091,0.087,0.466,0.487,-2.4,-0.2,11
69,App State,-1.2,30.7,32.0,0.046,0.062,0.442,0.453,-1.0,-1.3,10
70,BYU,-1.3,31.8,34.3,0.063,0.085,0.44,0.484,0.6,-2.6,12
71,UAB,-2.1,29.4,31.3,0.034,0.052,0.421,0.452,-2.3,-2.0,12
72,Navy,-2.2,22.8,26.4,-0.04,0.005,0.354,0.383,-0.2,-3.6,11
73,Liberty,-2.3,22.5,25.0,-0.068,-0.022,0.41,0.397,-1.9,-2.5,12
74,California,-2.4,25.4,27.4,-0.008,-0.014,0.372,0.463,-2.9,-2.0,11
75,Toledo,-3.0,23.0,26.5,-0.062,0.003,0.412,0.392,-2.2,-3.6,13
76,Georgia Tech,-3.1,20.0,21.1,-0.093,-0.085,0.375,0.399,-6.1,-1.1,11
77,Tulsa,-3.5,25.1,26.7,-0.024,0.003,0.4,0.4,-6.2,-1.6,11
78,Vanderbilt,-3.7,25.6,31.0,-0.021,0.061,0.411,0.418,-1.1,-5.4,11
79,Georgia State,-3.9,23.7,27.0,-0.04,-0.004,0.384,0.426,-4.7,-3.3,12
80,Arizona State,-4.0,29.8,32.6,0.035,0.074,0.431,0.448,-5.6,-2.9,11
81,Indiana,-4.1,23.5,26.8,-0.047,-0.008,0.393,0.429,-5.2,-3.4,11
82,Miami,-4.2,25.0,27.7,-0.039,0.003,0.43,0.435,-6.4,-2.7,11
83,San José State,-4.7,25.6,31.4,-0.031,0.061,0.436,0.432,-3.1,-5.7,11
84,Ohio,-4.9,28.8,35.9,0.02,0.117,0.429,0.468,-1.5,-7.1,13
85,Army,-5.3,25.2,32.3,-0.024,0.053,0.403,0.486,-2.5,-7.1,10
86,San Diego State,-5.3,19.3,24.3,-0.096,-0.035,0.356,0.398,-5.7,-5.0,12
87,Louisiana,-5.4,21.5,29.8,-0.077,0.037,0.393,0.433,-1.1,-8.3,12
88,Coastal Carolina,-5.6,32.4,38.3,0.071,0.157,0.444,0.462,-5.2,-5.9,12
89,Virginia,-5.6,19.8,24.2,-0.105,-0.042,0.398,0.413,-7.6,-4.4,9
90,Georgia Southern,-6.0,31.9,38.1,0.057,0.144,0.457,0.484,-5.8,-6.2,12
91,Northwestern,-6.3,19.5,25.1,-0.117,-0.039,0.412,0.439,-7.2,-5.6,11
92,Boston College,-6.4,23.7,27.9,-0.033,0.016,0.368,0.41,-9.6,-4.2,11
93,Stanford,-6.7,22.8,30.2,-0.062,0.042,0.405,0.434,-5.7,-7.4,11
94,Virginia Tech,-6.8,20.0,25.8,-0.088,-0.005,0.363,0.383,-8.4,-5.8,10
95,North Texas,-7.4,26.9,36.6,0.006,0.125,0.394,0.472,-4.1,-9.7,13
96,Buffalo,-7.5,18.8,28.1,-0.117,0.016,0.387,0.419,-4.9,-9.3,12
97,Southern Miss,-7.8,17.4,25.9,-0.127,-0.013,0.359,0.406,-6.7,-8.5,12
98,Kent State,-8.0,25.6,34.5,-0.026,0.096,0.421,0.466,-6.5,-9.0,11
99,Florida Atlantic,-8.0,23.2,31.7,-0.049,0.058,0.386,0.45,-7.3,-8.5,11
100,Rutgers,-8.4,15.1,23.2,-0.161,-0.059,0.358,0.417,-8.9,-8.1,11
101,Eastern Michigan,-8.6,27.5,36.6,-0.001,0.126,0.434,0.471,-7.9,-9.1,12
102,Temple,-8.8,22.4,31.2,-0.05,0.043,0.364,0.469,-8.9,-8.8,11
103,Wyoming,-10.8,18.6,31.3,-0.12,0.058,0.386,0.438,-7.8,-12.7,12
104,South Florida,-10.8,31.8,41.9,0.071,0.189,0.424,0.516,-12.0,-10.1,11
105,Old Dominion,-10.9,21.8,33.6,-0.058,0.084,0.362,0.462,-9.7,-11.8,12
106,Middle Tennessee,-11.4,16.4,29.7,-0.145,0.032,0.366,0.441,-8.4,-13.3,12
107,Bowling Green,-11.7,20.1,31.0,-0.097,0.052,0.389,0.439,-13.0,-10.8,12
108,UNLV,-12.0,20.7,34.6,-0.083,0.087,0.378,0.49,-9.2,-13.9,11
109,UConn,-12.1,18.4,32.4,-0.111,0.052,0.36,0.49,-9.4,-14.0,12
110,Texas State,-12.3,18.0,29.9,-0.116,0.031,0.356,0.451,-12.8,-11.9,11
111,Central Michigan,-12.3,18.8,31.3,-0.112,0.06,0.376,0.431,-12.1,-12.5,11
112,Utah State,-12.5,16.6,31.8,-0.142,0.065,0.365,0.44,-8.5,-15.2,12
113,UTEP,-12.8,18.9,32.8,-0.12,0.075,0.398,0.453,-11.3,-13.9,12
114,Miami (OH),-13.2,16.6,32.1,-0.134,0.067,0.347,0.446,-9.8,-15.5,12
115,Ball State,-13.3,16.7,32.1,-0.144,0.06,0.375,0.461,-10.3,-15.3,11
116,Northern Illinois,-13.8,23.6,38.1,-0.046,0.153,0.397,0.463,-12.7,-14.5,11
117,UL Monroe,-14.3,20.2,36.4,-0.089,0.116,0.375,0.489,-11.4,-16.2,11
118,Akron,-16.0,16.7,34.8,-0.154,0.106,0.398,0.453,-12.9,-18.0,11
119,New Mexico State,-16.1,18.3,36.7,-0.113,0.122,0.362,0.484,-12.8,-18.4,11
120,Western Michigan,-16.8,11.2,29.5,-0.206,0.026,0.321,0.446,-14.7,-18.2,11
121,Arkansas State,-17.0,17.8,37.1,-0.108,0.13,0.332,0.478,-13.7,-19.2,11
122,Colorado State,-17.1,13.0,32.6,-0.184,0.074,0.334,0.447,-13.4,-19.5,11
123,Rice,-17.1,17.5,37.2,-0.135,0.148,0.383,0.442,-13.2,-19.7,12
124,Nevada,-17.1,15.1,33.4,-0.153,0.09,0.338,0.438,-15.4,-18.2,11
125,Colorado,-17.2,18.5,37.1,-0.118,0.129,0.378,0.483,-15.2,-18.6,12
126,Louisiana Tech,-20.1,17.7,40.8,-0.126,0.196,0.369,0.461,-15.6,-23.1,11
127,Charlotte,-20.9,21.3,44.4,-0.096,0.231,0.427,0.508,-17.6,-23.1,11
128,Hawai'i,-22.2,18.7,45.1,-0.12,0.248,0.392,0.495,-16.1,-26.4,12
129,Massachusetts,-24.4,8.8,34.2,-0.229,0.102,0.287,0.441,-23.0,-25.4,11
130,New Mexico,-24.5,4.1,31.7,-0.304,0.057,0.288,0.453,-19.8,-27.6,11
131,Florida International,-27.3,8.9,40.0,-0.245,0.17,0.326,0.494,-21.4,-31.2,11
