rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
66,Louisiana Tech,-1.1,25.9,26.6,-0.038,-0.032,0.437,0.454,-1.7,-0.7,12
67,Northwestern,-1.2,20.3,19.6,-0.104,-0.115,0.373,0.375,-4.0,0.7,12
68,Temple,-1.2,21.5,22.7,-0.091,-0.075,0.391,0.4,-1.3,-1.2,12
69,San Diego State,-1.3,18.1,21.5,-0.144,-0.085,0.383,0.379,1.8,-3.4,12
70,BYU,-1.6,27.8,29.8,-0.006,0.019,0.434,0.456,-1.0,-2.0,12
71,Colorado,-1.6,30.2,31.3,0.035,0.043,0.433,0.458,-2.5,-1.1,12
72,Wake Forest,-1.9,25.1,28.9,-0.039,0.017,0.41,0.427,0.9,-3.8,12
73,Boston College,-2.6,31.0,34.0,0.051,0.085,0.424,0.465,-1.9,-3.0,12
74,West Virginia,-2.6,23.1,25.9,-0.063,-0.035,0.385,0.43,-2.3,-2.8,11
75,Houston,-2.9,27.9,32.5,0.002,0.071,0.421,0.441,-0.2,-4.6,11
76,Southern Miss,-2.9,24.6,26.8,-0.04,-0.004,0.39,0.396,-4.0,-2.3,12
77,Fresno State,-3.0,28.8,30.9,0.011,0.037,0.433,0.459,-4.4,-2.1,11
78,Georgia Southern,-4.0,20.9,27.6,-0.091,0.001,0.368,0.414,0.0,-6.7,12
79,Western Michigan,-4.2,26.2,30.8,-0.02,0.027,0.404,0.474,-3.6,-4.6,12
80,Ohio,-4.6,31.8,37.2,0.05,0.137,0.459,0.466,-3.4,-5.4,12
81,Arizona,-4.6,28.5,31.5,0.017,0.035,0.407,0.486,-6.9,-3.0,11
82,South Florida,-4.6,23.4,26.7,-0.058,-0.031,0.385,0.452,-6.6,-3.3,11
83,Marshall,-4.7,22.5,27.9,-0.078,-0.0,0.398,0.429,-3.5,-5.4,12
84,Central Michigan,-4.7,25.5,30.1,-0.033,0.032,0.406,0.439,-4.7,-4.7,13
85,UAB,-4.8,19.2,23.5,-0.123,-0.056,0.376,0.388,-5.5,-4.3,13
86,Kansas,-4.9,29.7,34.3,0.036,0.084,0.41,0.477,-5.3,-4.6,11
87,UCLA,-4.9,28.4,35.4,0.005,0.111,0.431,0.457,-1.7,-7.0,12
88,Duke,-5.0,17.6,25.1,-0.145,-0.032,0.366,0.396,-1.2,-7.5,11
89,Army,-5.1,25.6,30.3,-0.038,0.034,0.426,0.44,-5.6,-4.7,11
90,Ball State,-5.2,28.4,34.2,0.008,0.088,0.423,0.464,-4.4,-5.8,11
91,Arkansas State,-5.3,25.9,32.6,-0.017,0.067,0.387,0.453,-3.3,-6.7,12
92,Middle Tennessee,-5.5,30.2,35.0,0.036,0.093,0.428,0.486,-6.6,-4.8,11
93,Utah State,-6.9,22.4,31.0,-0.085,0.039,0.411,0.458,-4.3,-8.6,12
94,Maryland,-7.0,20.9,29.2,-0.097,0.01,0.379,0.455,-4.9,-8.4,11
95,Colorado State,-7.5,25.3,31.6,-0.043,0.061,0.424,0.43,-9.3,-6.3,11
96,Liberty,-7.6,25.2,32.4,-0.039,0.066,0.411,0.449,-8.3,-7.2,11
97,San José State,-7.7,28.5,36.6,0.001,0.115,0.446,0.494,-7.2,-8.0,11
98,Georgia Tech,-7.9,24.1,31.0,-0.046,0.046,0.384,0.439,-9.4,-6.9,11
99,UL Monroe,-8.2,29.2,38.7,0.028,0.154,0.41,0.487,-6.3,-9.5,11
100,Florida International,-8.3,23.7,30.8,-0.057,0.038,0.395,0.452,-10.1,-7.1,12
101,Troy,-8.3,28.5,37.9,0.004,0.135,0.44,0.5,-6.7,-9.4,11
102,Syracuse,-8.7,24.0,34.8,-0.05,0.098,0.39,0.466,-5.5,-10.8,11
103,Charlotte,-8.9,28.7,37.5,0.015,0.136,0.419,0.48,-9.0,-8.8,12
104,Arkansas,-8.9,23.9,33.9,-0.06,0.089,0.41,0.453,-7.2,-10.1,11
105,Eastern Michigan,-9.1,29.7,39.6,0.024,0.156,0.437,0.516,-7.7,-9.9,12
106,Miami (OH),-9.1,17.3,28.8,-0.142,0.011,0.348,0.438,-5.6,-11.5,13
107,Kent State,-9.2,27.4,39.5,-0.018,0.153,0.448,0.519,-5.0,-12.1,12
108,Georgia State,-10.3,26.4,38.3,-0.025,0.149,0.424,0.483,-8.0,-11.9,11
109,NC State,-11.4,19.1,30.7,-0.129,0.043,0.386,0.436,-10.9,-11.7,11
110,North Texas,-11.9,21.2,33.9,-0.098,0.084,0.396,0.463,-10.8,-12.6,11
111,Vanderbilt,-12.2,19.7,31.1,-0.114,0.036,0.373,0.47,-13.3,-11.5,11
112,Coastal Carolina,-12.6,22.6,37.7,-0.081,0.128,0.408,0.508,-8.9,-15.1,11
113,Northern Illinois,-13.0,20.1,33.3,-0.101,0.072,0.359,0.467,-12.8,-13.2,11
114,Nevada,-13.3,18.9,33.7,-0.129,0.093,0.38,0.437,-11.2,-14.8,12
115,Rice,-14.1,17.2,32.7,-0.148,0.075,0.357,0.438,-12.2,-15.5,12
116,UNLV,-15.0,20.9,35.7,-0.093,0.108,0.373,0.476,-15.4,-14.7,11
117,Toledo,-15.4,23.2,40.4,-0.061,0.182,0.387,0.486,-12.8,-17.2,11
118,UTSA,-15.9,21.9,36.2,-0.08,0.11,0.381,0.493,-18.4,-14.3,11
119,South Alabama,-16.0,14.4,31.1,-0.182,0.033,0.33,0.476,-15.0,-16.7,11
120,Rutgers,-16.1,15.1,32.1,-0.176,0.062,0.34,0.445,-14.6,-17.0,12
121,East Carolina,-16.2,24.8,42.5,-0.039,0.207,0.397,0.51,-13.8,-17.7,10
122,New Mexico,-16.4,21.4,37.8,-0.097,0.157,0.398,0.444,-16.3,-16.4,11
123,Texas State,-18.4,14.5,34.4,-0.177,0.085,0.322,0.48,-16.3,-19.8,10
124,New Mexico State,-18.5,19.7,37.9,-0.117,0.133,0.379,0.505,-18.9,-18.2,11
125,Old Dominion,-18.9,11.4,30.8,-0.232,0.041,0.33,0.444,-18.2,-19.4,11
126,UConn,-22.8,16.9,42.5,-0.15,0.202,0.35,0.522,-18.7,-25.6,11
127,UTEP,-24.5,20.6,44.0,-0.099,0.236,0.374,0.499,-26.2,-23.4,11
128,Bowling Green,-27.9,11.8,43.7,-0.225,0.227,0.327,0.509,-21.7,-32.0,11
129,Akron,-32.7,2.2,36.7,-0.352,0.109,0.255,0.512,-30.1,-34.5,12
130,Massachusetts,-39.3,9.7,52.6,-0.244,0.345,0.292,0.579,-33.9,-42.9,11
