sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
38,TCU,Big 12,5.1,7,6,7-6,9.57,-2.57,4.9,12.1,22,13
39,USC,Pac-12,4.4,7,6,7-6,9.64,-2.64,4.5,5.7,44,13
40,Missouri,SEC,3.9,5,7,5-7,7.55,-2.55,8.8,2.7,54,12
41,Wisconsin,Big Ten,3.9,8,6,8-6,10.64,-2.64,2.7,10.1,26,14
42,West Virginia,Big 12,3.0,7,6,7-6,9.83,-2.83,3.8,6.1,42,13
43,Rutgers,Big East,2.8,9,4,9-4,11.41,-2.41,-2.7,1.5,58,13
44,Penn State,Big Ten,2.6,8,4,8-4,10.3,-2.3,-1.0,9.3,30,12
45,BYU,FBS Independents,2.3,8,5,8-5,10.71,-2.71,-1.5,12.2,21,13
46,Fresno State,Mountain West,2.3,9,4,9-4,11.28,-2.28,-5.1,6.0,43,13
47,San Diego State,Mountain West,2.2,9,4,9-4,11.49,-2.49,-4.3,5.1,46,13
48,UCF,Conference USA,1.9,10,4,10-4,12.5,-2.5,-3.6,6.5,37,14
49,Michigan State,Big Ten,1.6,7,6,7-6,10.14,-3.14,2.8,13.0,18,13
50,Arizona State,Pac-12,1.5,8,5,8-5,10.87,-2.87,-1.6,11.1,23,13
51,Washington,Pac-12,1.4,7,6,7-6,10.13,-3.13,2.0,5.1,47,13
52,Louisiana,Sun Belt,1.4,9,4,9-4,11.47,-2.47,-4.2,3.5,53,13
53,Virginia Tech,ACC,1.3,7,6,7-6,10.11,-3.11,2.8,6.2,39,13
54,North Carolina,ACC,1.2,8,4,8-4,10.77,-2.77,-3.2,10.6,25,12
55,Iowa State,Big 12,1.1,6,7,6-7,9.62,-3.62,5.2,-3.0,68,13
