rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
56,Georgia Tech,ACC,2.9,1-2,1,2,28.7,24.8,0.081,0.004,0.421,0.411,1.4,4.0,2
57,Wake Forest,ACC,2.6,2-1,2,1,29.3,26.3,0.089,0.019,0.43,0.448,1.8,3.1,3
58,Michigan State,Big Ten,2.5,2-1,2,1,27.2,25.8,0.024,0.021,0.477,0.419,4.2,1.4,3
59,Arizona State,Big 12,2.5,2-1,2,1,21.0,19.7,-0.072,-0.1,0.404,0.407,4.3,1.3,2
60,Tulane,American Athletic,2.4,1-2,1,2,26.4,23.5,0.055,-0.022,0.367,0.412,1.8,2.8,3
61,Texas State,Pac-12,1.9,1-2,1,2,36.3,32.1,0.216,0.142,0.47,0.446,-1.5,4.2,3
62,Clemson,ACC,1.9,2-1,2,1,23.3,22.1,-0.021,-0.042,0.398,0.391,2.9,1.2,3
63,North Dakota State,Mountain West,1.0,4-0,4,0,22.6,22.0,-0.012,-0.05,0.341,0.4,1.5,0.7,3
64,West Virginia,Big 12,1.0,3-0,3,0,28.9,28.5,0.089,0.082,0.411,0.41,1.8,0.4,2
65,South Florida,American Athletic,0.7,3-0,3,0,27.2,26.8,0.048,0.032,0.425,0.447,1.1,0.4,2
66,Colorado,Big 12,-0.1,2-1,2,1,25.1,24.9,0.007,0.011,0.417,0.399,-0.6,0.2,2
67,Minnesota,Big Ten,-0.4,2-1,2,1,24.3,26.2,-0.025,0.033,0.452,0.415,2.0,-2.0,2
68,Washington State,Pac-12,-0.8,1-2,1,2,22.4,22.6,-0.028,-0.048,0.371,0.427,-1.7,-0.2,2
69,Old Dominion,Sun Belt,-1.0,1-2,1,2,19.1,18.2,-0.095,-0.116,0.364,0.371,-3.7,0.9,2
70,North Carolina,ACC,-1.3,2-1,2,1,25.2,27.6,-0.003,0.057,0.449,0.424,0.2,-2.3,2
71,North Texas,American Athletic,-1.5,1-2,1,2,33.0,34.5,0.164,0.178,0.434,0.477,-1.6,-1.5,3
72,Fresno State,Pac-12,-1.8,2-1,2,1,18.6,20.8,-0.103,-0.074,0.359,0.398,-1.2,-2.1,3
73,Toledo,Mid-American,-2.1,2-1,2,1,25.5,26.0,0.028,0.05,0.387,0.365,-4.4,-0.5,2
74,Purdue,Big Ten,-2.3,1-2,1,2,33.0,34.7,0.162,0.193,0.44,0.453,-3.2,-1.7,2
75,Utah State,Pac-12,-2.4,0-3,0,3,22.9,25.7,-0.023,0.021,0.379,0.417,-1.6,-2.9,2
76,Memphis,American Athletic,-2.7,3-1,3,1,29.9,33.6,0.113,0.161,0.404,0.473,-1.2,-3.7,3
77,California,ACC,-3.2,2-1,2,1,23.3,27.1,-0.02,0.045,0.394,0.432,-2.1,-3.8,2
78,East Carolina,American Athletic,-3.5,1-2,1,2,23.0,25.0,-0.036,0.0,0.417,0.431,-5.8,-2.0,3
79,NC State,ACC,-3.5,1-2,1,2,24.9,30.5,0.008,0.108,0.403,0.445,-0.4,-5.6,2
80,Oklahoma State,Big 12,-3.7,2-1,2,1,21.9,25.2,-0.068,0.027,0.437,0.377,-4.2,-3.3,2
81,Syracuse,ACC,-3.7,1-2,1,2,21.1,25.0,-0.065,0.003,0.391,0.425,-3.4,-3.9,2
82,Navy,American Athletic,-4.0,1-1,1,1,23.4,27.2,-0.022,0.048,0.404,0.428,-4.4,-3.8,1
83,Oregon State,Pac-12,-4.2,1-2,1,2,25.3,28.7,0.023,0.083,0.388,0.417,-5.3,-3.5,2
84,Boston College,ACC,-4.3,2-1,2,1,21.3,25.4,-0.071,0.021,0.412,0.403,-4.5,-4.2,2
85,Louisiana,Sun Belt,-4.4,2-1,2,1,25.6,27.7,0.023,0.072,0.407,0.396,-7.9,-2.1,2
86,Army,American Athletic,-4.5,1-1,1,1,27.6,32.8,0.058,0.163,0.422,0.429,-3.5,-5.1,1
87,Liberty,Conference USA,-4.9,2-1,2,1,27.8,35.3,0.065,0.212,0.414,0.44,-0.9,-7.5,2
88,South Alabama,Sun Belt,-5.1,2-1,2,1,30.4,35.9,0.112,0.223,0.43,0.441,-4.5,-5.5,2
89,Air Force,Mountain West,-5.2,1-1,1,1,29.4,32.6,0.086,0.155,0.439,0.439,-8.1,-3.3,1
90,Western Michigan,Mid-American,-5.6,2-1,2,1,23.1,30.2,-0.033,0.108,0.414,0.432,-3.4,-7.1,2
91,Colorado State,Pac-12,-5.7,2-1,2,1,25.1,30.4,0.008,0.099,0.413,0.462,-6.3,-5.3,2
92,Tulsa,American Athletic,-6.1,3-0,3,0,22.1,27.9,-0.065,0.083,0.438,0.379,-6.4,-5.8,2
93,Troy,Sun Belt,-6.1,2-1,2,1,22.6,28.3,-0.051,0.083,0.434,0.395,-6.9,-5.6,2
94,San Diego State,Pac-12,-6.2,1-2,1,2,19.6,25.9,-0.093,0.022,0.386,0.425,-6.1,-6.3,2
95,Temple,American Athletic,-6.4,1-2,1,2,28.9,34.5,0.069,0.181,0.456,0.47,-7.5,-5.6,2
96,Stanford,ACC,-7.0,1-2,1,2,25.4,31.3,0.026,0.114,0.386,0.472,-8.5,-6.0,3
97,Rutgers,Big Ten,-7.1,0-3,0,3,25.2,32.6,-0.009,0.171,0.46,0.399,-6.7,-7.4,3
98,San José State,Mountain West,-7.5,2-2,2,2,22.8,28.7,-0.036,0.082,0.403,0.42,-9.8,-5.9,3
99,Delaware,Conference USA,-7.8,2-1,2,1,21.4,29.7,-0.066,0.102,0.407,0.42,-7.2,-8.3,2
100,Florida Atlantic,American Athletic,-8.1,2-1,2,1,25.5,33.0,0.023,0.159,0.399,0.449,-8.9,-7.5,3
101,Coastal Carolina,Sun Belt,-8.1,1-2,1,2,25.0,31.4,-0.004,0.135,0.439,0.426,-10.7,-6.3,2
102,Louisiana Tech,Sun Belt,-8.2,1-2,1,2,16.0,24.1,-0.166,-0.003,0.38,0.397,-8.3,-8.1,2
103,Miami (OH),Mid-American,-8.3,1-2,1,2,24.8,31.1,0.008,0.12,0.4,0.45,-11.3,-6.3,2
104,Jacksonville State,Conference USA,-8.6,2-2,2,2,23.5,30.8,-0.027,0.106,0.417,0.468,-10.5,-7.4,3
105,Ohio,Mid-American,-9.0,1-2,1,2,24.2,33.6,0.001,0.177,0.386,0.434,-8.5,-9.4,3
106,Georgia State,Sun Belt,-9.1,2-1,2,1,25.3,34.6,0.001,0.191,0.44,0.453,-8.6,-9.3,2
107,Nevada,Mountain West,-9.4,1-2,1,2,22.7,32.9,-0.044,0.157,0.419,0.451,-8.1,-10.3,2
108,UConn,FBS Independents,-9.5,2-1,2,1,21.0,30.5,-0.065,0.121,0.385,0.418,-9.4,-9.5,2
109,UNLV,Mountain West,-10.1,1-2,1,2,17.8,29.5,-0.108,0.093,0.332,0.432,-7.6,-11.7,3
110,App State,Sun Belt,-10.2,3-0,3,0,23.2,33.3,-0.025,0.177,0.399,0.422,-10.3,-10.1,2
111,Florida International,Conference USA,-10.6,1-2,1,2,16.1,26.6,-0.156,0.045,0.364,0.406,-10.8,-10.5,3
112,Georgia Southern,Sun Belt,-11.1,1-2,1,2,21.0,32.2,-0.065,0.16,0.389,0.409,-11.0,-11.2,2
113,Middle Tennessee,Conference USA,-12.5,2-1,2,1,19.8,32.4,-0.078,0.161,0.357,0.416,-12.3,-12.6,2
114,UAB,American Athletic,-12.7,1-2,1,2,19.0,31.5,-0.121,0.141,0.423,0.42,-13.1,-12.5,3
115,Sam Houston,Conference USA,-13.0,1-2,1,2,19.3,30.8,-0.13,0.152,0.457,0.359,-15.4,-11.5,2
116,Marshall,Sun Belt,-13.8,2-1,2,1,21.8,37.4,-0.058,0.217,0.408,0.527,-11.0,-15.6,3
117,Hawai'i,Mountain West,-13.8,1-2,1,2,20.2,34.4,-0.072,0.173,0.364,0.484,-13.3,-14.2,3
118,Central Michigan,Mid-American,-14.1,2-1,2,1,21.5,35.6,-0.064,0.206,0.409,0.464,-14.0,-14.1,2
119,New Mexico State,Conference USA,-14.4,1-2,1,2,16.7,30.9,-0.16,0.121,0.399,0.438,-14.8,-14.2,2
120,Rice,American Athletic,-14.5,1-2,1,2,17.4,30.6,-0.148,0.12,0.405,0.425,-16.3,-13.3,2
121,Charlotte,American Athletic,-14.8,0-3,0,3,14.0,29.1,-0.213,0.082,0.393,0.439,-14.3,-15.1,2
122,Massachusetts,Mid-American,-15.5,3-0,3,0,20.2,34.1,-0.104,0.2,0.441,0.407,-17.8,-13.9,1
123,Kennesaw State,Conference USA,-15.8,1-2,1,2,19.1,33.8,-0.1,0.182,0.378,0.435,-17.4,-14.7,2
124,Arkansas State,Sun Belt,-15.9,1-2,1,2,19.0,35.3,-0.12,0.204,0.418,0.456,-15.4,-16.3,2
125,Northern Illinois,Mountain West,-16.1,0-3,0,3,18.1,33.3,-0.131,0.171,0.401,0.434,-17.5,-15.2,2
126,Eastern Michigan,Mid-American,-16.6,1-3,1,3,17.9,32.5,-0.125,0.172,0.375,0.393,-19.7,-14.6,4
127,Western Kentucky,Conference USA,-18.2,0-3,0,3,19.0,37.1,-0.098,0.235,0.369,0.47,-18.4,-18.1,3
128,Sacramento State,Mid-American,-18.6,1-3,1,3,20.2,33.1,-0.099,0.155,0.427,0.464,-27.0,-12.9,3
129,UL Monroe,Sun Belt,-19.0,0-3,0,3,16.5,36.2,-0.177,0.225,0.428,0.449,-18.0,-19.7,2
130,Wyoming,Mountain West,-19.2,1-2,1,2,14.5,33.7,-0.198,0.173,0.383,0.449,-19.1,-19.2,2
131,Buffalo,Mid-American,-19.2,1-2,1,2,15.8,34.4,-0.165,0.183,0.368,0.46,-20.2,-18.6,2
132,Missouri State,Conference USA,-19.5,1-2,1,2,18.8,37.8,-0.102,0.252,0.368,0.463,-20.3,-19.0,2
133,Bowling Green,Mid-American,-20.2,0-3,0,3,17.4,34.6,-0.141,0.193,0.389,0.449,-24.6,-17.2,2
134,Akron,Mid-American,-21.1,1-2,1,2,16.7,37.1,-0.167,0.256,0.413,0.422,-22.2,-20.4,2
135,UTEP,Mountain West,-22.3,1-2,1,2,12.0,33.5,-0.263,0.168,0.411,0.454,-23.6,-21.5,2
136,Southern Miss,Sun Belt,-23.3,1-2,1,2,14.5,36.6,-0.213,0.223,0.416,0.471,-25.2,-22.1,2
137,Ball State,Mid-American,-24.8,1-2,1,2,16.4,40.4,-0.164,0.307,0.395,0.463,-26.0,-24.0,2
138,Kent State,Mid-American,-24.8,1-2,1,2,15.9,38.4,-0.172,0.265,0.388,0.465,-28.3,-22.5,2
